epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99791,1.71508,3.18371,1.94737,0.41812,0.8125,0.53289,0.21917,1.76373,2.89818,2.61784,1.667e-05,1.667e-05,1.667e-05
2,4.1821,1.62249,3.15556,1.81383,0.40116,0.8125,0.51345,0.2156,1.75645,2.91187,2.60735,4.90198e-05,4.90198e-05,4.90198e-05
3,5.12088,1.75056,3.43745,2.0498,0.3697,0.82196,0.49228,0.20616,1.74976,2.9212,2.59784,8.00493e-05,8.00493e-05,8.00493e-05
4,6.22384,1.79957,3.02538,2.01702,0.54256,0.9375,0.69556,0.39248,1.48811,3.294,2.30765,0.000109759,0.000109759,0.000109759
5,7.58529,1.48604,1.72758,1.60524,0.56548,0.84033,0.62954,0.36365,1.4574,2.8347,2.05522,0.000138148,0.000138148,0.000138148
6,8.90264,1.46189,1.74355,1.50474,0.49117,0.96416,0.63137,0.38921,1.46271,2.96955,1.96055,0.000165216,0.000165216,0.000165216
7,10.2188,1.22407,1.33379,1.39804,0.63263,0.92521,0.80352,0.51608,1.48274,2.27705,1.9626,0.000190965,0.000190965,0.000190965
8,11.462,1.20355,1.31147,1.41399,0.5844,0.71851,0.72065,0.4337,1.51703,1.73983,2.07412,0.000215393,0.000215393,0.000215393
9,12.493,1.27307,1.43926,1.47756,0.55648,0.81505,0.62783,0.36917,1.46125,1.83365,2.03903,0.000238501,0.000238501,0.000238501
10,13.6434,1.24195,1.3298,1.41854,0.33308,0.90894,0.57229,0.32972,1.42892,2.72262,1.97757,0.000260289,0.000260289,0.000260289
11,14.9571,1.19997,1.18883,1.35326,0.33309,0.71861,0.60027,0.35442,1.44327,3.20669,1.93073,0.000280756,0.000280756,0.000280756
12,16.2197,1.01707,1.08705,1.19728,0.62787,0.75,0.73165,0.43992,1.48371,2.17306,2.01384,0.000299903,0.000299903,0.000299903
13,17.4276,1.06247,0.99832,1.25208,0.90822,0.71584,0.88031,0.52142,1.50449,1.47434,2.12645,0.00031773,0.00031773,0.00031773
14,18.7492,1.12421,1.07934,1.32934,0.73832,0.89652,0.85426,0.51729,1.546,1.60154,2.26971,0.000334237,0.000334237,0.000334237
15,20.5852,0.98462,1.03464,1.23237,0.70604,0.6613,0.66646,0.38812,1.57779,2.10785,2.37636,0.000349423,0.000349423,0.000349423
16,23.9019,0.95157,0.96817,1.23514,0.7063,0.66324,0.59373,0.31446,1.63704,2.68594,2.38563,0.000363289,0.000363289,0.000363289
17,25.6757,0.92858,0.86996,1.1635,0.71164,0.75,0.68561,0.32306,1.65444,2.54417,2.34971,0.000375835,0.000375835,0.000375835
18,27.4261,1.10592,1.05594,1.27285,0.62206,0.7815,0.77488,0.43743,1.57694,1.86171,2.30553,0.000387061,0.000387061,0.000387061
19,29.065,0.96825,0.86796,1.26203,0.71455,0.7394,0.68495,0.42624,1.48658,1.89767,2.2442,0.000396966,0.000396966,0.000396966
20,30.1835,0.911,0.7317,1.1538,0.46818,0.60417,0.53669,0.31025,1.61484,2.21074,2.42509,0.000405551,0.000405551,0.000405551
21,32.2782,0.93674,0.8255,1.24939,0.5305,0.60308,0.55325,0.26482,1.64391,2.08071,2.58067,0.000412816,0.000412816,0.000412816
22,34.3112,0.79831,0.83466,1.14223,0.69886,0.52083,0.44782,0.26279,1.70087,2.0817,2.67994,0.00041876,0.00041876,0.00041876
23,36.6246,0.96939,0.89685,1.20029,0.60662,0.52083,0.53782,0.31467,1.81882,2.33355,2.89995,0.000423385,0.000423385,0.000423385
24,38.6497,0.92295,0.85571,1.19155,0.71137,0.59782,0.61972,0.3495,1.68918,2.38517,2.89598,0.000426689,0.000426689,0.000426689
25,40.1907,0.92764,0.86467,1.18879,0.78101,0.60417,0.77603,0.39196,1.58541,2.29995,2.88044,0.000428672,0.000428672,0.000428672
26,41.3905,0.9356,0.76119,1.199,0.72346,0.68165,0.85088,0.47039,1.4825,1.98348,2.78858,0.000429336,0.000429336,0.000429336
27,42.6889,0.82308,0.71606,1.11788,0.5416,0.9013,0.83723,0.52687,1.41201,1.70071,2.40625,0.000428679,0.000428679,0.000428679
28,44.0025,0.90706,0.74999,1.17703,0.5416,0.9013,0.83723,0.52687,1.41201,1.70071,2.40625,0.000426702,0.000426702,0.000426702
29,49.0089,0.73347,0.67848,1.10605,0.52831,0.91667,0.84861,0.48609,1.50417,1.67154,2.42375,0.000423405,0.000423405,0.000423405
30,50.341,0.86811,0.75896,1.17282,0.56558,0.80387,0.76206,0.43509,1.57869,1.91949,2.51036,0.000418787,0.000418787,0.000418787
31,53.9618,0.80784,0.66862,1.08498,0.56558,0.80387,0.76206,0.43509,1.57869,1.91949,2.51036,0.000412849,0.000412849,0.000412849
