epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2964,0.91199,1.86907,1.4002,0.89388,0.41435,0.85006,0.58947,0.8986,2.86101,1.5131,0.00044,0.00044,0.00044
2,102.242,0.86531,1.3266,1.34637,0.54448,0.31357,0.52563,0.28375,1.50011,3.15473,2.16957,0.00088218,0.00088218,0.00088218
3,149.562,0.93577,1.30963,1.39072,0.73403,0.6787,0.71462,0.36022,1.52929,2.53622,2.60877,0.00130614,0.00130614,0.00130614
4,198.443,0.99586,1.29382,1.42569,0.46597,0.6723,0.54624,0.26244,1.57643,2.55943,2.6056,0.00171189,0.00171189,0.00171189
5,246.589,0.97821,1.19994,1.40262,0.20686,0.45902,0.19292,0.0663,2.18994,3.91599,3.2937,0.0018416,0.0018416,0.0018416
6,293.208,0.95901,1.10239,1.38747,0.62298,0.63934,0.65857,0.30364,1.72607,2.44425,3.10626,0.001802,0.001802,0.001802
7,339.097,0.95148,1.03762,1.36221,0.41653,0.4918,0.34039,0.12278,2.25017,3.2841,3.32847,0.0017624,0.0017624,0.0017624
8,386.126,0.9212,0.9846,1.35289,0.77598,0.83607,0.832,0.49009,1.45198,1.48438,2.17143,0.0017228,0.0017228,0.0017228
9,431.942,0.93893,0.96993,1.3796,0.81095,0.70323,0.81924,0.47268,1.46792,1.53186,2.14864,0.0016832,0.0016832,0.0016832
10,478.085,0.88625,0.87552,1.31991,0.7212,0.83607,0.85941,0.51351,1.29457,1.30679,2.01065,0.0016436,0.0016436,0.0016436
11,525.015,0.91138,0.84252,1.31675,0.6758,0.61517,0.70349,0.38849,1.41771,1.66198,2.04956,0.001604,0.001604,0.001604
12,572.098,0.88455,0.83654,1.28962,0.91601,0.89398,0.9528,0.6677,0.99664,1.00709,1.60154,0.0015644,0.0015644,0.0015644
13,621.875,0.87314,0.8222,1.30569,0.76046,0.91803,0.88876,0.55301,1.2627,1.13874,1.95994,0.0015248,0.0015248,0.0015248
14,669.557,0.82835,0.78669,1.29081,0.75273,0.8484,0.86448,0.55016,1.13126,1.22932,1.7759,0.0014852,0.0014852,0.0014852
15,716.53,0.82308,0.7596,1.28385,0.9193,0.85246,0.94325,0.63596,1.15787,1.0275,1.88259,0.0014456,0.0014456,0.0014456
16,764.009,0.755,0.6755,1.21725,0.90975,0.91803,0.95288,0.67931,0.9883,0.80692,1.67699,0.001406,0.001406,0.001406
17,811.152,0.81754,0.68421,1.26147,1,0.88109,0.95382,0.66115,1.09874,0.89821,1.72535,0.0013664,0.0013664,0.0013664
18,859.364,0.8301,0.68973,1.25272,0.92787,0.84354,0.92073,0.64176,1.02763,0.94892,1.69739,0.0013268,0.0013268,0.0013268
19,906.811,0.72596,0.61987,1.20089,0.86263,0.92652,0.92692,0.64338,1.06307,0.91326,1.71591,0.0012872,0.0012872,0.0012872
20,955.665,0.71359,0.63308,1.18844,0.81991,0.82099,0.87406,0.57962,1.18384,0.94857,1.8435,0.0012476,0.0012476,0.0012476
21,1002.41,0.72383,0.61839,1.19179,0.87049,0.57377,0.74393,0.48533,1.33679,1.57451,1.96007,0.001208,0.001208,0.001208
22,1048.97,0.74125,0.62067,1.20864,0.98231,0.91803,0.95548,0.65045,1.13849,0.72966,1.85309,0.0011684,0.0011684,0.0011684
23,1098.52,0.71686,0.60093,1.18728,0.90694,0.90164,0.94517,0.6664,0.92331,0.75615,1.57667,0.0011288,0.0011288,0.0011288
24,1145.51,0.70386,0.61403,1.19446,0.948,0.93443,0.95141,0.73076,0.8244,0.68531,1.45408,0.0010892,0.0010892,0.0010892
25,1192.95,0.69964,0.59964,1.19813,0.96618,0.95082,0.96018,0.72066,0.87168,0.70174,1.51015,0.0010496,0.0010496,0.0010496
26,1241.05,0.65835,0.54067,1.16257,0.88963,0.95082,0.95862,0.61728,1.0564,0.7913,1.69353,0.00101,0.00101,0.00101
27,1288.85,0.70836,0.56683,1.18819,0.94437,0.83486,0.903,0.65193,1.09801,0.7427,1.79606,0.0009704,0.0009704,0.0009704
28,1337.49,0.64655,0.54282,1.14673,0.93177,0.8955,0.93047,0.70761,0.92584,0.7776,1.52812,0.0009308,0.0009308,0.0009308
29,1386,0.65233,0.50868,1.16185,0.92775,0.91803,0.96161,0.72709,0.88054,0.73933,1.4637,0.0008912,0.0008912,0.0008912
30,1434.48,0.62389,0.50912,1.13708,0.9857,0.86885,0.96262,0.69935,0.95394,0.64564,1.59101,0.0008516,0.0008516,0.0008516
31,1480.54,0.6165,0.5136,1.13466,0.91263,0.96721,0.97564,0.74418,0.89053,0.62939,1.53598,0.000812,0.000812,0.000812
32,1527.05,0.62001,0.501,1.12901,0.9488,0.93443,0.94494,0.71617,0.91245,0.67297,1.52012,0.0007724,0.0007724,0.0007724
33,1572.95,0.60043,0.49156,1.11287,0.96719,0.96656,0.97248,0.76739,0.84472,0.53901,1.46862,0.0007328,0.0007328,0.0007328
34,1619.18,0.60445,0.47933,1.11285,0.96588,0.95082,0.96363,0.76428,0.82538,0.53452,1.44896,0.0006932,0.0006932,0.0006932
35,1665.01,0.60904,0.48706,1.13193,0.95203,0.96721,0.9799,0.73633,0.89863,0.57116,1.5521,0.0006536,0.0006536,0.0006536
36,1711.43,0.6036,0.47849,1.12413,0.93523,0.96721,0.97201,0.73575,0.8904,0.55785,1.53415,0.000614,0.000614,0.000614
37,1757.32,0.56145,0.45945,1.08049,0.96411,0.91803,0.97447,0.76078,0.78676,0.55866,1.42895,0.0005744,0.0005744,0.0005744
38,1803.55,0.57806,0.47205,1.10808,0.96573,0.92403,0.94329,0.7512,0.80837,0.57463,1.48996,0.0005348,0.0005348,0.0005348
